341561 341538 253:4 /firmware/aw8622_high_f0_Z_cfg.bin /vendor/firmware/aw8622_high_f0_Z_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341562 341538 253:4 /firmware/aw87xxx_pid_5a_fm_0.bin /vendor/firmware/aw87xxx_pid_5a_fm_0.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341563 341538 253:4 /firmware/gtx8_limits_K7.csv /vendor/firmware/gtx8_limits_K7.csv ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341564 341538 253:4 /firmware/soc1_0_ram_mcu_2a_1_hdr.bin /vendor/firmware/soc1_0_ram_mcu_2a_1_hdr.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341565 341538 253:4 /firmware/gt9886_cfg_90hz6885.bin /vendor/firmware/gt9886_cfg_90hz6885.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341566 341538 253:4 /firmware/aw87xxx_pid_59_voice_0.bin /vendor/firmware/aw87xxx_pid_59_voice_0.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341567 341538 253:4 /firmware/focaltech_ts_fw_samsung.bin /vendor/firmware/focaltech_ts_fw_samsung.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341568 341538 253:4 /firmware/soc1_0_patch_mcu_2a_1_hdr.bin /vendor/firmware/soc1_0_patch_mcu_2a_1_hdr.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341569 341538 253:4 /firmware/aw87xxx_pid_59_rcv_0.bin /vendor/firmware/aw87xxx_pid_59_rcv_0.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341570 341538 253:4 /firmware/aw87xxx_pid_5a_off_0.bin /vendor/firmware/aw87xxx_pid_5a_off_0.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341571 341538 253:4 /firmware/aw8622_low_f0_need_setup_Z_cfg.bin /vendor/firmware/aw8622_low_f0_need_setup_Z_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341572 341538 253:4 /firmware/aw8622_mid_f0_Z_cfg.bin /vendor/firmware/aw8622_mid_f0_Z_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341573 341538 253:4 /firmware/WMT_SOC.cfg /vendor/firmware/WMT_SOC.cfg ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341574 341538 253:4 /firmware/mt6631_fm_v1_patch.bin /vendor/firmware/mt6631_fm_v1_patch.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341575 341538 253:4 /firmware/aw87xxx_pid_5a_music_0.bin /vendor/firmware/aw87xxx_pid_5a_music_0.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341576 341538 253:4 /firmware/gt9886_cfg_6853v01.bin /vendor/firmware/gt9886_cfg_6853v01.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341577 341538 253:4 /firmware/aw87xxx_pid_5a_rcv_0.bin /vendor/firmware/aw87xxx_pid_5a_rcv_0.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
